# gt7 capture | captured=2026-06-11T08:16:07 | track=Deep Forest Raceway (Reverse) | car=Toyota 86 GRMN '16 | packet=C | hz=60.0
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
14,9,3222,113.536,2024.2,0.093,166.0,100,0,7648,4,-51.45,-262.69,0.0002,-0.003,0.126,0.1,66.5,64.8,55.4,54.5,46.12,-0.09
14,9,3222,113.536,2024.2,0.125,166.6,100,0,7688,4,-46.06,-262.7,0.0003,-0.001,0.134,0.1,66.5,64.8,55.4,54.5,46.27,-0.09
14,9,3222,113.536,2024.2,0.156,166.7,100,0,7687,4,-44.51,-262.7,0.0004,-0.001,0.146,0.1,66.4,64.8,55.4,54.5,46.32,-0.09
14,9,3222,113.536,2024.2,0.203,166.9,100,0,7684,4,-42.97,-262.71,0.0005,-0.001,0.145,0.1,66.4,64.8,55.4,54.5,46.36,-0.09
14,9,3222,113.536,2024.2,0.234,167.1,100,0,7684,4,-41.42,-262.71,0.0006,-0.002,0.141,0.1,66.4,64.8,55.4,54.5,46.41,-0.09
14,9,3222,113.536,2024.2,0.265,167.2,100,0,7689,4,-39.87,-262.71,0.0007,-0.002,0.134,0.1,66.4,64.8,55.4,54.5,46.45,-0.09
14,9,3222,113.536,2024.2,0.297,167.4,100,0,7701,4,-38.32,-262.71,0.0008,-0.003,0.118,0.1,66.4,64.8,55.4,54.5,46.49,-0.09
14,9,3222,113.536,2024.2,0.328,167.5,100,0,7711,4,-36.77,-262.72,0.0008,-0.003,0.125,0.1,66.4,64.8,55.4,54.5,46.53,-0.09
14,9,3222,113.536,2024.2,0.359,167.7,100,0,7717,4,-35.21,-262.72,0.0009,-0.004,0.126,0.1,66.4,64.8,55.4,54.5,46.58,-0.1
14,9,3222,113.536,2024.2,0.39,167.8,100,0,7722,4,-33.66,-262.72,0.0008,-0.003,0.127,0.1,66.4,64.8,55.4,54.4,46.62,-0.1
14,9,3222,113.536,2024.2,0.422,168.0,100,0,7727,4,-32.1,-262.73,0.0007,-0.003,0.126,0.1,66.4,64.8,55.4,54.4,46.66,-0.1
14,9,3222,113.536,2024.2,0.453,168.1,100,0,7731,4,-30.54,-262.73,0.0007,-0.004,0.125,0.1,66.4,64.8,55.4,54.4,46.7,-0.1
14,9,3222,113.536,2024.2,0.5,168.3,100,0,7733,4,-28.98,-262.73,0.0006,-0.004,0.135,0.1,66.4,64.8,55.4,54.4,46.74,-0.1
14,9,3222,113.536,2024.2,0.531,168.4,100,0,7734,4,-27.42,-262.74,0.0005,-0.004,0.13,0.1,66.4,64.8,55.4,54.4,46.79,-0.1
14,9,3222,113.536,2024.2,0.562,168.6,100,0,7737,4,-25.86,-262.74,0.0004,-0.003,0.126,-0.0,66.4,64.8,55.4,54.4,46.83,-0.1
14,9,3222,113.536,2024.2,0.593,168.7,100,0,7739,4,-25.08,-262.74,0.0003,-0.004,0.122,0.1,66.4,64.8,55.4,54.4,46.85,-0.1
14,9,3222,113.536,2024.2,0.625,168.8,100,0,7749,4,-23.51,-262.75,0.0002,-0.003,0.115,-0.0,66.4,64.8,55.4,54.4,46.89,-0.1
14,9,3222,113.536,2024.2,0.656,168.9,100,0,7759,4,-21.95,-262.75,0.0,-0.002,0.114,-0.0,66.4,64.8,55.4,54.4,46.92,-0.1
14,9,3222,113.536,2024.2,0.687,169.1,100,0,7767,4,-20.38,-262.75,-0.0002,-0.003,0.117,-0.0,66.4,64.8,55.4,54.4,46.96,-0.1
14,9,3222,113.536,2024.2,0.718,169.2,91,0,7767,4,-18.81,-262.76,-0.0005,0.001,0.116,-0.2,66.4,64.8,55.4,54.4,47.0,-0.1
