# gt7 capture | captured=2026-06-10T08:18:59 | track=拉古納塞卡 | car=911 GT3 R (992) '22 | packet=C | hz=15.0 | cleaned(clean laps only)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
1,1,3600,85.585,114.4,0.016,189.2,100,0,8064,4,-276.79,-242.92,0.0139,-0.047,0.275,1.1,58.7,59.1,61.4,61.8,-28.48,44.13
1,1,3600,85.585,114.4,0.141,190.2,100,0,8163,4,-280.6,-237.01,0.0264,-0.126,0.189,2.7,58.6,59.1,61.4,61.8,-28.52,44.43
1,1,3600,85.585,114.4,0.266,191.2,100,0,8113,4,-283.93,-231.8,0.041,-0.187,0.237,2.8,58.6,59.0,61.4,61.8,-28.47,44.78
1,1,3600,85.585,114.4,0.391,192.2,100,0,8215,4,-287.73,-225.8,0.0384,-0.167,0.266,3.3,58.6,59.0,61.4,61.8,-28.39,45.14
1,1,3600,85.585,114.4,0.531,193.2,100,0,8254,4,-291.51,-219.74,0.0621,-0.244,0.256,3.9,58.6,59.0,61.4,61.8,-28.27,45.55
1,1,3600,85.585,114.4,0.656,194.2,100,0,8259,4,-295.27,-213.63,0.0783,-0.369,0.228,4.7,58.5,59.0,61.4,61.8,-28.0,46.03
1,1,3600,85.585,114.4,0.781,195.0,100,0,8277,4,-298.52,-208.22,0.0793,-0.396,0.225,4.7,58.5,58.9,61.4,61.8,-27.67,46.48
1,1,3600,85.585,114.4,0.906,195.8,100,0,8322,4,-301.72,-202.76,0.0947,-0.42,0.244,4.8,58.5,58.9,61.4,61.8,-27.29,46.93
1,1,3600,85.585,114.4,1.047,196.7,100,0,8388,4,-305.78,-195.66,0.0969,-0.477,0.245,5.8,58.5,58.9,61.3,61.8,-26.76,47.51
1,1,3600,85.585,114.4,1.172,197.5,100,0,8388,4,-308.87,-190.08,0.1079,-0.499,0.22,5.9,58.5,58.9,61.3,61.8,-26.25,48.01
1,1,3600,85.585,114.4,1.297,198.2,100,0,8458,4,-312.33,-183.63,0.1047,-0.494,0.216,5.5,58.4,58.9,61.3,61.8,-25.69,48.55
1,1,3600,85.585,114.4,1.422,199.0,100,0,8547,4,-315.72,-177.11,0.1004,-0.439,0.244,5.0,58.4,58.8,61.3,61.8,-25.25,49.04
1,1,3600,85.585,114.4,1.547,199.8,100,0,8468,4,-318.63,-171.35,0.0837,-0.486,0.235,4.9,58.4,58.8,61.3,61.8,-24.74,49.53
1,1,3600,85.585,114.4,1.672,200.4,100,0,8539,4,-321.49,-165.53,0.0938,-0.444,0.231,4.9,58.4,58.8,61.3,61.8,-24.28,49.95
