# gt7 capture | captured=2026-06-13T08:43:20 | track=深林賽道 逆向 | car=Toyota 86 GRMN '16 | packet=C | hz=60.0 | cleaned(session best laps only)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
9,9,3222,113.015,1249.3,0.11,166.1,100,0,7648,4,-51.85,-263.3,-0.0,-0.006,0.128,0.1,69.8,68.9,55.9,55.9,46.14,-0.07
9,9,3222,113.015,1249.3,0.141,166.6,100,0,7690,4,-46.45,-263.3,-0.0001,-0.002,0.128,0.1,69.8,68.9,55.9,55.9,46.28,-0.07
9,9,3222,113.015,1249.3,0.172,166.9,100,0,7688,4,-44.14,-263.31,0.0004,-0.001,0.147,0.1,69.8,68.9,55.9,55.9,46.35,-0.07
9,9,3222,113.015,1249.3,0.203,167.0,100,0,7687,4,-43.36,-263.31,0.0004,-0.001,0.147,0.1,69.8,68.9,55.9,55.9,46.38,-0.07
9,9,3222,113.015,1249.3,0.235,167.2,100,0,7688,4,-41.04,-263.31,0.0007,-0.002,0.137,0.1,69.8,68.9,55.9,55.9,46.44,-0.07
9,9,3222,113.015,1249.3,0.281,167.4,100,0,7694,4,-39.49,-263.31,0.001,-0.004,0.125,0.1,69.8,68.9,55.9,55.9,46.49,-0.07
9,9,3222,113.015,1249.3,0.313,167.5,100,0,7707,4,-37.94,-263.32,0.0011,-0.002,0.121,0.1,69.8,68.9,55.9,55.9,46.53,-0.07
9,9,3222,113.015,1249.3,0.344,167.6,100,0,7716,4,-36.38,-263.32,0.001,-0.003,0.12,0.1,69.8,68.9,55.9,55.9,46.57,-0.07
9,9,3222,113.015,1249.3,0.375,167.8,100,0,7721,4,-34.83,-263.32,0.0011,-0.003,0.126,0.1,69.8,68.9,55.9,55.9,46.61,-0.07
9,9,3222,113.015,1249.3,0.406,167.9,100,0,7725,4,-33.27,-263.32,0.0012,-0.003,0.127,0.1,69.8,68.9,55.9,55.9,46.65,-0.07
9,9,3222,113.015,1249.3,0.453,168.1,100,0,7730,4,-31.71,-263.33,0.0012,-0.003,0.126,0.1,69.8,68.9,55.9,55.9,46.69,-0.07
9,9,3222,113.015,1249.3,0.485,168.3,100,0,7736,4,-29.37,-263.33,0.0013,-0.005,0.13,0.1,69.8,68.8,55.9,55.9,46.75,-0.08
9,9,3222,113.015,1249.3,0.516,168.5,100,0,7736,4,-27.81,-263.33,0.0015,-0.006,0.13,0.1,69.8,68.8,55.9,55.9,46.8,-0.08
9,9,3222,113.015,1249.3,0.547,168.5,100,0,7738,4,-27.03,-263.33,0.0016,-0.006,0.128,0.1,69.8,68.8,55.9,55.9,46.82,-0.08
9,9,3222,113.015,1249.3,0.578,168.7,100,0,7742,4,-25.47,-263.34,0.0014,-0.007,0.124,0.1,69.8,68.8,55.9,55.9,46.86,-0.08
9,9,3222,113.015,1249.3,0.61,168.8,100,0,7751,4,-23.9,-263.34,0.0016,-0.007,0.114,0.1,69.8,68.8,55.9,55.9,46.9,-0.08
9,9,3222,113.015,1249.3,0.641,169.0,100,0,7761,4,-22.34,-263.34,0.0016,-0.007,0.113,0.1,69.8,68.8,55.9,55.9,46.93,-0.08
9,9,3222,113.015,1249.3,0.672,169.1,100,0,7769,4,-20.77,-263.35,0.0014,-0.008,0.114,0.1,69.8,68.8,55.9,55.9,46.97,-0.08
