# gt7 capture | captured=2026-06-18T08:08:22 | track=深林賽道 逆向 | car=Toyota 86 GRMN '16 | packet=C | hz=60.0 | cleaned(best-of-session: rl8)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
8,1,3222,112.599,2383.0,0.0,166.2,100,0,7654,4,-51.36,-262.07,-0.0032,-0.023,0.126,-0.4,60.1,59.6,60.1,59.9,46.17,-0.54
8,1,3222,112.599,2383.0,0.031,166.4,100,0,7666,4,-49.82,-262.09,-0.0052,-0.017,0.126,-0.5,60.1,59.6,60.1,59.9,46.21,-0.55
8,1,3222,112.599,2383.0,0.094,166.5,100,0,7683,4,-48.28,-262.11,-0.0067,-0.008,0.118,-0.6,60.1,59.6,60.1,59.9,46.25,-0.55
8,1,3222,112.599,2383.0,0.141,166.6,100,0,7695,4,-46.73,-262.12,-0.0079,-0.0,0.127,-0.6,60.1,59.6,60.1,59.9,46.29,-0.55
8,1,3222,112.599,2383.0,0.187,166.9,100,0,7694,4,-44.42,-262.15,-0.0092,0.009,0.148,-0.6,60.1,59.5,60.1,59.9,46.36,-0.55
8,1,3222,112.599,2383.0,0.234,167.2,100,0,7691,4,-42.09,-262.18,-0.0096,0.016,0.141,-0.5,60.1,59.5,60.1,59.9,46.43,-0.54
8,1,3222,112.599,2383.0,0.281,167.4,100,0,7696,4,-39.77,-262.2,-0.0092,0.023,0.132,-0.6,60.1,59.5,60.1,59.9,46.5,-0.53
8,1,3222,112.599,2383.0,0.312,167.6,100,0,7714,4,-37.44,-262.23,-0.0093,0.027,0.12,-0.6,60.1,59.5,60.1,59.9,46.55,-0.52
8,1,3222,112.599,2383.0,0.359,167.8,100,0,7724,4,-35.11,-262.26,-0.0087,0.03,0.127,-0.5,60.1,59.5,60.1,59.9,46.62,-0.5
8,1,3222,112.599,2383.0,0.406,168.0,100,0,7728,4,-33.55,-262.27,-0.0082,0.033,0.126,-0.5,60.1,59.5,60.1,59.9,46.66,-0.49
8,1,3222,112.599,2383.0,0.453,168.2,100,0,7735,4,-31.21,-262.3,-0.0076,0.035,0.125,-0.5,60.1,59.5,60.1,59.9,46.72,-0.48
8,1,3222,112.599,2383.0,0.5,168.4,100,0,7739,4,-28.87,-262.32,-0.0069,0.035,0.133,-0.4,60.1,59.5,60.1,59.9,46.78,-0.46
8,1,3222,112.599,2383.0,0.547,168.6,100,0,7740,4,-27.31,-262.34,-0.0064,0.036,0.129,-0.5,60.1,59.5,60.1,59.9,46.83,-0.45
8,1,3222,112.599,2383.0,0.594,168.8,100,0,7746,4,-24.96,-262.36,-0.006,0.034,0.12,-0.5,60.1,59.5,60.1,59.9,46.89,-0.43
8,1,3222,112.599,2383.0,0.625,169.0,75,0,7727,4,-22.62,-262.38,-0.0068,0.033,0.098,-0.7,60.1,59.5,60.1,59.9,46.94,-0.41
8,1,3222,112.599,2383.0,0.656,169.2,33,0,7636,4,-18.7,-262.41,-0.0082,0.035,0.024,-0.7,60.1,59.5,60.1,59.9,46.99,-0.38
8,1,3222,112.599,2383.0,0.687,169.1,8,0,7568,5,-16.35,-262.43,-0.0088,0.034,-0.031,-0.7,60.1,59.5,60.1,59.9,46.98,-0.36
8,1,3222,112.599,2383.0,0.781,169.1,0,0,7492,5,-14.78,-262.44,-0.0091,0.034,-0.059,-0.7,60.0,59.5,60.1,59.9,46.96,-0.35
8,1,3222,112.599,2383.0,0.828,169.0,0,0,7163,5,-12.43,-262.46,-0.0102,0.034,-0.072,-0.7,60.0,59.5,60.1,59.9,46.93,-0.33
8,1,3222,112.599,2383.0,0.875,168.9,0,0,6875,5,-10.86,-262.47,-0.0104,0.036,-0.071,-0.6,60.0,59.5,60.1,59.9,46.91,-0.32
8,1,3222,112.599,2383.0,0.906,168.8,0,0,6467,5,-9.3,-262.48,-0.0107,0.037,-0.058,-0.6,60.0,59.5,60.1,59.9,46.89,-0.31
8,1,3222,112.599,2383.0,0.937,168.7,100,0,6165,5,-6.95,-262.5,-0.0107,0.038,-0.028,-0.5,60.0,59.5,60.1,59.9,46.87,-0.29
8,1,3222,112.599,2383.0,1.0,168.8,100,0,6310,5,-5.39,-262.5,-0.0108,0.04,0.037,-0.5,60.0,59.5,60.1,59.9,46.88,-0.27
8,1,3222,112.599,2383.0,1.031,168.9,100,0,6377,5,-3.04,-262.52,-0.0104,0.043,0.105,-0.5,60.0,59.5,60.1,59.9,46.92,-0.25
8,1,3222,112.599,2383.0,1.078,169.0,100,0,6388,5,-1.47,-262.53,-0.0096,0.044,0.114,-0.5,60.0,59.5,60.1,59.9,46.96,-0.23
8,1,3222,112.599,2383.0,1.125,169.1,100,0,6391,5,-0.69,-262.53,-0.0091,0.043,0.115,-0.5,60.0,59.5,60.1,59.9,46.97,-0.23
8,1,3222,112.599,2383.0,1.172,169.4,100,0,6405,5,2.45,-262.54,-0.0069,0.039,0.114,-0.5,60.0,59.5,60.1,59.9,47.05,-0.2
8,1,3222,112.599,2383.0,1.219,169.6,100,0,6419,5,4.8,-262.55,-0.0052,0.033,0.109,-0.4,60.0,59.5,60.1,59.9,47.1,-0.18
8,1,3222,112.599,2383.0,1.297,169.7,100,0,6433,5,6.38,-262.56,-0.0043,0.028,0.101,-0.4,60.0,59.5,60.1,59.9,47.14,-0.17
8,1,3222,112.599,2383.0,1.344,169.9,100,0,6447,5,8.74,-262.57,-0.0035,0.024,0.113,-0.4,60.0,59.5,60.1,59.9,47.19,-0.16
8,1,3222,112.599,2383.0,1.375,170.1,100,0,6464,5,11.1,-262.57,-0.0032,0.024,0.098,-0.4,60.0,59.5,60.1,59.9,47.24,-0.15
8,1,3222,112.599,2383.0,1.406,170.8,100,0,6474,5,18.21,-262.59,-0.0032,0.026,0.126,-0.3,60.0,59.5,60.1,59.9,47.43,-0.11
8,1,3222,112.599,2383.0,1.437,171.0,100,0,6475,5,20.59,-262.6,-0.0036,0.025,0.134,-0.3,60.0,59.5,60.1,59.9,47.5,-0.1
8,1,3222,112.599,2383.0,1.469,171.4,100,0,6475,5,24.55,-262.61,-0.002,0.016,0.118,-0.0,60.0,59.4,60.1,59.9,47.6,-0.08
8,1,3222,112.599,2383.0,1.734,171.4,100,0,6477,5,25.35,-262.61,-0.0013,0.013,0.12,0.1,60.0,59.4,60.1,59.9,47.62,-0.08
8,1,3222,112.599,2383.0,1.781,171.7,100,0,6490,5,28.53,-262.61,0.0018,0.005,0.114,0.3,60.0,59.4,60.1,59.9,47.69,-0.07
8,1,3222,112.599,2383.0,1.828,171.8,100,0,6503,5,30.12,-262.62,0.0023,0.002,0.096,0.3,60.0,59.4,60.1,59.9,47.73,-0.07
8,1,3222,112.599,2383.0,1.875,172.0,100,0,6524,5,32.51,-262.62,0.0033,0.001,0.106,0.2,60.0,59.4,60.1,59.9,47.78,-0.07
8,1,3222,112.599,2383.0,1.906,172.5,100,0,6545,5,38.1,-262.63,0.0041,-0.009,0.124,0.2,60.0,59.4,60.0,59.9,47.91,-0.07
8,1,3222,112.599,2383.0,1.953,172.7,100,0,6547,5,40.5,-262.63,0.0035,-0.013,0.123,0.1,60.0,59.4,60.0,59.9,47.97,-0.08
8,1,3222,112.599,2383.0,2.016,172.9,100,0,6551,5,42.9,-262.64,0.0026,-0.017,0.113,0.1,60.0,59.4,60.0,59.9,48.03,-0.09
8,1,3222,112.599,2383.0,2.062,173.0,100,0,6556,5,44.51,-262.64,0.0022,-0.018,0.114,-0.0,60.0,59.4,60.0,59.9,48.07,-0.09
8,1,3222,112.599,2383.0,2.094,173.2,100,0,6552,5,46.11,-262.64,0.0015,-0.017,0.132,-0.1,60.0,59.4,60.0,59.8,48.11,-0.1
8,1,3222,112.599,2383.0,2.141,173.4,100,0,6536,5,48.52,-262.65,0.0,-0.015,0.139,-0.1,60.0,59.4,60.0,59.8,48.17,-0.11
8,1,3222,112.599,2383.0,2.187,173.6,100,0,6532,5,50.94,-262.65,-0.0014,-0.007,0.118,-0.1,59.9,59.4,60.0,59.8,48.23,-0.11
8,1,3222,112.599,2383.0,2.297,173.8,100,0,6544,5,53.35,-262.66,-0.0019,0.001,0.098,-0.1,59.9,59.4,60.0,59.8,48.27,-0.11
8,1,3222,112.599,2383.0,2.344,173.9,100,0,6562,5,54.96,-262.66,-0.0015,-0.001,0.088,0.1,59.9,59.4,60.0,59.8,48.3,-0.11
8,1,3222,112.599,2383.0,2.375,174.1,100,0,6596,5,58.19,-262.67,-0.0001,0.001,0.094,0.2,59.9,59.4,60.0,59.8,48.36,-0.12
8,1,3222,112.599,2383.0,2.422,174.1,100,0,6603,5,59.0,-262.67,0.0003,0.001,0.098,0.2,59.9,59.4,60.0,59.8,48.37,-0.12
8,1,3222,112.599,2383.0,2.453,174.6,100,0,6634,5,64.65,-262.68,0.0012,0.002,0.117,0.1,59.9,59.4,60.0,59.8,48.49,-0.12
8,1,3222,112.599,2383.0,2.5,174.8,100,0,6633,5,67.08,-262.69,0.0015,0.003,0.128,0.1,59.9,59.4,60.0,59.8,48.55,-0.12
8,1,3222,112.599,2383.0,2.547,174.9,100,0,6632,5,68.7,-262.69,0.0016,0.001,0.124,0.2,59.9,59.4,60.0,59.8,48.59,-0.12
8,1,3222,112.599,2383.0,2.578,175.0,100,0,6633,5,70.32,-262.7,0.0019,0.002,0.121,0.1,59.9,59.4,60.0,59.8,48.62,-0.12
8,1,3222,112.599,2383.0,2.625,175.2,100,0,6636,5,72.76,-262.7,0.0021,0.001,0.12,0.1,59.9,59.4,60.0,59.8,48.68,-0.12
8,1,3222,112.599,2383.0,2.672,175.4,100,0,6637,5,74.38,-262.71,0.0026,-0.004,0.121,0.2,59.9,59.4,60.0,59.8,48.72,-0.12
8,1,3222,112.599,2383.0,2.719,175.6,100,0,6640,5,76.82,-262.71,0.0031,-0.01,0.117,0.2,59.9,59.4,60.0,59.8,48.77,-0.12
