# gt7 capture | captured=2026-06-21T08:29:49 | track=Red Bull Ring | car=Ford GT '17 | packet=C | hz=60.0 | cleaned(best-of-session: rl6,15,33,50)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
6,2,3402,93.343,1042.1,0.078,217.1,100,0,6429,5,565.07,275.55,-0.0026,-0.015,0.332,-0.2,63.9,62.0,62.6,61.7,-58.23,15.68
6,2,3402,93.343,1042.1,0.109,218.1,100,0,6466,5,560.2,276.86,-0.0042,-0.017,0.324,-0.2,63.9,62.0,62.6,61.7,-58.5,15.74
6,2,3402,93.343,1042.1,0.141,218.3,100,0,6471,5,559.22,277.12,-0.005,-0.015,0.346,-0.2,63.9,62.0,62.6,61.7,-58.55,15.75
6,2,3402,93.343,1042.1,0.172,218.7,100,0,6479,5,557.27,277.65,-0.0055,-0.016,0.339,-0.2,63.9,62.0,62.6,61.7,-58.67,15.77
6,2,3402,93.343,1042.1,0.203,219.1,100,0,6496,5,555.31,278.17,-0.0063,-0.008,0.337,-0.2,63.9,62.0,62.6,61.7,-58.77,15.8
6,2,3402,93.343,1042.1,0.234,219.5,100,0,6506,5,553.34,278.7,-0.0061,-0.007,0.328,-0.2,63.9,62.0,62.6,61.7,-58.88,15.82
6,2,3402,93.343,1042.1,0.266,219.9,100,0,6522,5,551.38,279.23,-0.006,0.001,0.348,-0.2,63.9,62.0,62.6,61.7,-58.99,15.84
6,2,3402,93.343,1042.1,0.297,220.3,100,0,6532,5,549.41,279.76,-0.0047,-0.001,0.331,-0.1,63.9,62.0,62.6,61.7,-59.09,15.86
6,2,3402,93.343,1042.1,0.344,220.6,100,0,6543,5,547.43,280.29,-0.0039,0.004,0.342,-0.0,63.9,62.0,62.6,61.7,-59.2,15.88
6,2,3402,93.343,1042.1,0.375,221.0,100,0,6553,5,545.45,280.82,-0.0022,-0.001,0.325,-0.0,63.9,62.0,62.6,61.7,-59.31,15.9
6,2,3402,93.343,1042.1,0.406,221.6,100,0,6569,5,542.48,281.61,-0.0014,0.0,0.322,-0.0,63.9,62.0,62.6,61.7,-59.47,15.93
6,2,3402,93.343,1042.1,0.453,222.0,100,0,6583,5,540.49,282.14,-0.0004,-0.0,0.302,-0.0,63.9,62.0,62.6,61.7,-59.57,15.95
6,2,3402,93.343,1042.1,0.484,222.4,100,0,6588,5,538.5,282.68,-0.0,-0.006,0.322,0.1,63.9,62.0,62.6,61.7,-59.68,15.97
6,2,3402,93.343,1042.1,0.516,222.6,100,0,6594,5,537.5,282.94,0.0004,-0.008,0.316,0.1,63.9,62.0,62.6,61.7,-59.73,15.98
6,2,3402,93.343,1042.1,0.547,223.1,100,0,6609,5,534.51,283.74,0.0007,-0.011,0.316,0.2,63.9,62.0,62.6,61.7,-59.88,16.02
6,2,3402,93.343,1042.1,0.578,223.5,100,0,6621,5,532.51,284.28,0.0011,-0.01,0.319,0.2,63.9,62.0,62.6,61.7,-59.98,16.04
6,2,3402,93.343,1042.1,0.609,223.9,100,0,6630,5,530.51,284.81,0.0018,-0.018,0.312,0.3,63.9,62.0,62.6,61.7,-60.08,16.07
6,2,3402,93.343,1042.1,0.641,224.2,100,0,6643,5,528.5,285.35,0.0023,-0.019,0.321,0.4,63.9,62.0,62.6,61.7,-60.18,16.1
6,2,3402,93.343,1042.1,0.672,224.6,100,0,6652,5,526.49,285.89,0.0031,-0.024,0.306,0.4,63.9,62.0,62.6,61.7,-60.28,16.13
6,2,3402,93.343,1042.1,0.703,224.8,100,0,6661,5,525.48,286.16,0.0034,-0.022,0.293,0.4,63.9,62.0,62.6,61.7,-60.32,16.14
6,2,3402,93.343,1042.1,0.734,225.2,100,0,6668,5,523.47,286.7,0.0037,-0.027,0.312,0.5,63.9,62.0,62.6,61.7,-60.42,16.17
6,2,3402,93.343,1042.1,0.766,225.5,100,0,6681,5,521.45,287.24,0.0043,-0.028,0.29,0.5,63.9,62.0,62.6,61.7,-60.52,16.2
6,2,3402,93.343,1042.1,0.797,225.9,100,0,6687,5,519.43,287.78,0.0044,-0.03,0.309,0.5,63.9,62.0,62.6,61.7,-60.61,16.23
6,2,3402,93.343,1042.1,0.828,226.2,100,0,6697,5,517.4,288.32,0.0046,-0.031,0.299,0.5,63.9,62.0,62.6,61.7,-60.71,16.26
6,2,3402,93.343,1042.1,0.875,226.6,100,0,6708,5,515.37,288.86,0.0044,-0.037,0.291,0.5,63.9,62.0,62.6,61.7,-60.8,16.3
