# gt7 capture | captured=2026-06-23T08:13:30 | track=Red Bull Ring | car=Ford GT '17 | packet=C | hz=60.0 | cleaned(best-of-session: rl24,rl26)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
24,11,3402,93.042,3011.1,0.031,218.6,100,0,6468,5,564.45,275.18,0.0055,-0.063,0.331,0.9,72.5,69.2,67.1,65.0,-58.68,15.61
24,11,3402,93.042,3011.1,0.062,219.2,100,0,6487,5,561.51,275.96,0.0042,-0.069,0.33,0.9,72.5,69.2,67.1,65.0,-58.84,15.67
24,11,3402,93.042,3011.1,0.094,219.6,100,0,6503,5,559.54,276.48,0.0037,-0.064,0.318,0.9,72.5,69.2,67.1,65.0,-58.94,15.7
24,11,3402,93.042,3011.1,0.125,220.0,100,0,6508,5,557.58,277.01,0.0017,-0.065,0.337,0.9,72.5,69.2,67.1,65.0,-59.05,15.74
24,11,3402,93.042,3011.1,0.172,220.4,100,0,6527,5,555.6,277.53,0.0018,-0.057,0.31,0.9,72.5,69.2,67.1,65.0,-59.15,15.78
24,11,3402,93.042,3011.1,0.203,220.9,100,0,6546,5,552.64,278.33,0.0011,-0.051,0.309,0.9,72.5,69.2,67.1,65.0,-59.3,15.83
24,11,3402,93.042,3011.1,0.234,221.3,100,0,6557,5,550.66,278.85,0.0014,-0.045,0.352,0.9,72.5,69.2,67.1,65.0,-59.4,15.87
24,11,3402,93.042,3011.1,0.266,221.5,100,0,6564,5,549.66,279.12,0.0016,-0.042,0.315,0.9,72.5,69.2,67.1,65.0,-59.45,15.88
24,11,3402,93.042,3011.1,0.297,221.9,100,0,6578,5,547.68,279.65,0.0028,-0.039,0.31,0.9,72.5,69.2,67.1,65.0,-59.55,15.92
24,11,3402,93.042,3011.1,0.328,222.3,100,0,6587,5,545.69,280.18,0.0034,-0.041,0.312,0.9,72.5,69.2,67.1,65.0,-59.65,15.95
24,11,3402,93.042,3011.1,0.359,222.5,100,0,6594,5,544.69,280.45,0.0043,-0.043,0.315,0.9,72.5,69.2,67.1,65.0,-59.7,15.97
24,11,3402,93.042,3011.1,0.391,222.9,100,0,6601,5,542.7,280.98,0.0041,-0.039,0.336,0.9,72.5,69.2,67.1,65.0,-59.8,16.0
24,11,3402,93.042,3011.1,0.422,223.2,100,0,6613,5,540.7,281.52,0.0053,-0.044,0.316,0.9,72.5,69.2,67.1,65.0,-59.9,16.03
24,11,3402,93.042,3011.1,0.453,223.6,100,0,6620,5,538.7,282.05,0.0049,-0.042,0.333,0.9,72.5,69.2,67.1,65.0,-60.0,16.07
24,11,3402,93.042,3011.1,0.484,224.0,100,0,6635,5,536.69,282.59,0.0059,-0.045,0.305,0.9,72.5,69.2,67.1,65.0,-60.1,16.1
24,11,3402,93.042,3011.1,0.516,224.3,100,0,6641,5,534.68,283.13,0.0054,-0.045,0.314,0.9,72.5,69.2,67.1,65.0,-60.2,16.14
