# gt7 capture | captured=2026-06-25T08:22:30 | track=Red Bull Ring | car=Ford GT '17 | packet=C | hz=60.0 | cleaned(best-of-session: rl1)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
1,1,3402,92.67,645.7,0.015,220.1,100,0,6510,5,564.46,275.51,-0.0015,-0.019,0.326,0.1,60.5,59.4,61.1,60.6,-59.08,15.72
1,1,3402,92.67,645.7,0.047,220.5,100,0,6522,5,562.48,276.03,-0.0023,-0.024,0.34,0.1,60.5,59.4,61.1,60.6,-59.19,15.75
1,1,3402,92.67,645.7,0.078,220.9,100,0,6536,5,560.51,276.56,-0.0021,-0.028,0.325,0.2,60.5,59.4,61.1,60.6,-59.29,15.77
1,1,3402,92.67,645.7,0.109,221.3,100,0,6545,5,558.52,277.08,-0.0029,-0.026,0.354,0.4,60.5,59.4,61.1,60.6,-59.4,15.8
1,1,3402,92.67,645.7,0.14,221.4,100,0,6550,5,557.53,277.35,-0.0024,-0.031,0.322,0.4,60.5,59.4,61.1,60.6,-59.45,15.81
1,1,3402,92.67,645.7,0.172,222.0,100,0,6569,5,554.55,278.14,-0.0023,-0.022,0.346,0.6,60.4,59.3,61.1,60.6,-59.6,15.85
1,1,3402,92.67,645.7,0.218,222.4,100,0,6587,5,552.56,278.67,0.0,-0.026,0.305,0.7,60.4,59.3,61.1,60.6,-59.7,15.88
1,1,3402,92.67,645.7,0.265,223.0,100,0,6603,5,549.57,279.46,0.0017,-0.025,0.309,0.8,60.4,59.3,61.1,60.6,-59.85,15.92
1,1,3402,92.67,645.7,0.297,223.3,100,0,6615,5,547.57,279.99,0.0036,-0.027,0.308,0.9,60.4,59.3,61.1,60.6,-59.95,15.94
1,1,3402,92.67,645.7,0.343,223.7,100,0,6624,5,545.56,280.53,0.0049,-0.033,0.305,0.9,60.4,59.3,61.1,60.6,-60.05,15.97
1,1,3402,92.67,645.7,0.375,224.1,100,0,6635,5,543.56,281.06,0.0059,-0.032,0.327,0.9,60.4,59.3,61.1,60.6,-60.15,16.0
1,1,3402,92.67,645.7,0.422,224.6,100,0,6653,5,540.54,281.86,0.007,-0.04,0.293,0.9,60.4,59.3,61.1,60.6,-60.3,16.05
1,1,3402,92.67,645.7,0.453,225.0,100,0,6658,5,538.53,282.4,0.0068,-0.047,0.312,0.9,60.4,59.3,61.1,60.6,-60.4,16.08
1,1,3402,92.67,645.7,0.484,225.3,100,0,6672,5,536.51,282.94,0.0069,-0.046,0.292,0.9,60.4,59.3,61.1,60.6,-60.49,16.12
1,1,3402,92.67,645.7,0.515,225.7,100,0,6678,5,534.49,283.47,0.0066,-0.053,0.304,1.0,60.4,59.3,61.1,60.6,-60.59,16.16
1,1,3402,92.67,645.7,0.547,226.1,100,0,6690,5,532.47,284.01,0.0069,-0.052,0.298,1.0,60.4,59.3,61.1,60.6,-60.68,16.19
1,1,3402,92.67,645.7,0.578,226.4,100,0,6699,5,530.44,284.56,0.0068,-0.058,0.289,1.0,60.4,59.3,61.1,60.6,-60.77,16.23
