# gt7 capture | captured=2026-07-02 | track=Red Bull Ring | car=Ford GT '17 | packet=C | hz=60.0 | cleaned(best-of-session: rl7)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
7,2,3402,92.515,1417.5,0.172,217.1,100,0,6426,5,564.69,275.28,-0.005,-0.017,0.333,-0.3,63.7,61.7,62.5,61.7,-58.17,15.85
7,2,3402,92.515,1417.5,0.172,217.2,100,0,6434,5,563.72,275.54,-0.0056,-0.015,0.333,-0.3,63.7,61.7,62.5,61.7,-58.23,15.86
7,2,3402,92.515,1417.5,0.172,217.5,100,0,6439,5,562.75,275.81,-0.0061,-0.017,0.35,-0.3,63.7,61.7,62.5,61.7,-58.29,15.88
7,2,3402,92.515,1417.5,0.172,217.7,100,0,6446,5,561.77,276.07,-0.0066,-0.017,0.336,-0.3,63.7,61.7,62.5,61.7,-58.34,15.89
7,2,3402,92.515,1417.5,0.188,217.9,100,0,6453,5,560.8,276.34,-0.0067,-0.015,0.335,-0.4,63.7,61.7,62.5,61.7,-58.39,15.9
7,2,3402,92.515,1417.5,0.188,218.0,100,0,6463,5,559.82,276.6,-0.0071,-0.012,0.323,-0.4,63.7,61.7,62.5,61.7,-58.45,15.91
7,2,3402,92.515,1417.5,0.188,218.3,100,0,6467,5,558.85,276.87,-0.008,-0.007,0.353,-0.4,63.7,61.7,62.5,61.7,-58.5,15.92
7,2,3402,92.515,1417.5,0.188,218.5,100,0,6469,5,557.87,277.13,-0.0087,-0.008,0.352,-0.4,63.7,61.7,62.5,61.7,-58.56,15.93
7,2,3402,92.515,1417.5,0.188,218.7,100,0,6478,5,556.89,277.4,-0.0087,-0.004,0.323,-0.4,63.7,61.7,62.5,61.7,-58.61,15.94
7,2,3402,92.515,1417.5,0.188,218.8,100,0,6488,5,555.91,277.66,-0.0086,-0.003,0.321,-0.3,63.7,61.7,62.5,61.7,-58.66,15.95
7,2,3402,92.515,1417.5,0.188,219.1,100,0,6492,5,554.93,277.93,-0.0088,0.003,0.35,-0.3,63.7,61.7,62.5,61.7,-58.72,15.96
7,2,3402,92.515,1417.5,0.188,219.3,100,0,6498,5,553.95,278.2,-0.0087,0.004,0.333,-0.2,63.7,61.7,62.5,61.7,-58.78,15.97
7,2,3402,92.515,1417.5,0.203,219.4,100,0,6508,5,552.97,278.46,-0.0079,0.006,0.317,-0.3,63.7,61.7,62.5,61.7,-58.83,15.98
7,2,3402,92.515,1417.5,0.219,219.6,100,0,6519,5,551.99,278.73,-0.0074,0.01,0.312,-0.3,63.7,61.7,62.5,61.7,-58.88,15.99
7,2,3402,92.515,1417.5,0.25,219.8,100,0,6519,5,551.0,279.0,-0.0072,0.013,0.36,-0.2,63.7,61.7,62.5,61.7,-58.94,16.0
7,2,3402,92.515,1417.5,0.266,220.0,100,0,6525,5,550.02,279.26,-0.0069,0.014,0.33,-0.2,63.7,61.7,62.5,61.7,-58.99,16.01
7,2,3402,92.515,1417.5,0.281,220.2,100,0,6530,5,549.04,279.53,-0.0058,0.01,0.332,-0.1,63.7,61.7,62.5,61.7,-59.05,16.02
7,2,3402,92.515,1417.5,0.297,220.4,100,0,6538,5,548.05,279.8,-0.0048,0.011,0.316,-0.0,63.7,61.7,62.5,61.7,-59.1,16.02
7,2,3402,92.515,1417.5,0.313,220.6,100,0,6541,5,547.06,280.06,-0.0042,0.013,0.341,0.1,63.7,61.7,62.5,61.7,-59.15,16.03
7,2,3402,92.515,1417.5,0.328,220.8,100,0,6546,5,546.07,280.33,-0.0034,0.011,0.331,0.1,63.7,61.7,62.5,61.7,-59.21,16.04
7,2,3402,92.515,1417.5,0.344,221.0,100,0,6552,5,545.09,280.6,-0.0021,0.008,0.323,0.1,63.7,61.7,62.5,61.7,-59.26,16.05
7,2,3402,92.515,1417.5,0.359,221.2,100,0,6563,5,544.1,280.87,-0.0013,0.007,0.303,0.1,63.7,61.7,62.5,61.7,-59.31,16.06
7,2,3402,92.515,1417.5,0.375,221.4,100,0,6562,5,543.11,281.14,-0.0012,0.009,0.359,0.1,63.7,61.7,62.5,61.7,-59.37,16.07
7,2,3402,92.515,1417.5,0.391,221.6,100,0,6568,5,542.11,281.4,-0.0005,0.004,0.319,0.1,63.7,61.7,62.5,61.7,-59.42,16.08
