# gt7 capture | captured=2026-07-04 | track=Interlagos | car=Aston Martin DB11 '16 | packet=C | hz=60.0 | cleaned(best-of-session: rl24)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
24,5,3343,100.644,4525.9,0.047,260.8,100,0,6940,5,-367.34,197.92,-0.0037,0.031,0.16,-0.5,72.2,77.6,69.9,73.7,17.89,70.18
24,5,3343,100.644,4525.9,0.047,260.9,100,0,6936,5,-367.04,199.1,-0.0033,0.022,0.158,-0.5,72.2,77.6,69.9,73.7,17.89,70.2
24,5,3343,100.644,4525.9,0.047,261.0,100,0,6938,5,-366.74,200.27,-0.0029,0.016,0.136,-0.5,72.2,77.6,69.9,73.7,17.89,70.22
24,5,3343,100.644,4525.9,0.047,261.0,100,0,6954,5,-366.44,201.44,-0.0028,0.009,0.075,-0.5,72.2,77.6,69.9,73.7,17.89,70.23
24,5,3343,100.644,4525.9,0.047,261.0,100,0,6968,5,-366.15,202.61,-0.0027,0.006,0.088,-0.5,72.2,77.6,69.9,73.7,17.89,70.24
24,5,3343,100.644,4525.9,0.047,261.1,100,0,6984,5,-365.85,203.78,-0.0027,0.005,0.086,-0.5,72.2,77.6,69.9,73.7,17.9,70.25
24,5,3343,100.644,4525.9,0.047,261.1,100,0,6998,5,-365.55,204.95,-0.0029,0.006,0.094,-0.5,72.2,77.6,69.9,73.7,17.9,70.27
24,5,3343,100.644,4525.9,0.047,261.2,100,0,7007,5,-365.25,206.13,-0.0037,0.008,0.117,-0.5,72.2,77.6,69.9,73.7,17.9,70.28
24,5,3343,100.644,4525.9,0.047,261.2,100,0,6999,5,-364.95,207.3,-0.0049,0.006,0.181,-0.5,72.2,77.6,69.9,73.7,17.9,70.3
24,5,3343,100.644,4525.9,0.047,261.3,100,0,6985,5,-364.65,208.47,-0.0055,0.001,0.196,-0.5,72.2,77.6,69.9,73.7,17.91,70.33
24,5,3343,100.644,4525.9,0.047,261.4,100,0,6970,5,-364.36,209.65,-0.0055,0.0,0.187,-0.5,72.2,77.6,69.9,73.7,17.92,70.35
24,5,3343,100.644,4525.9,0.047,261.5,100,0,6958,5,-364.06,210.82,-0.0059,0.002,0.168,-0.5,72.2,77.6,69.9,73.7,17.92,70.38
24,5,3343,100.644,4525.9,0.047,261.6,100,0,6950,5,-363.76,212.0,-0.0066,0.008,0.147,-0.5,72.2,77.6,69.9,73.7,17.93,70.39
24,5,3343,100.644,4525.9,0.047,261.7,100,0,6946,5,-363.46,213.17,-0.0079,0.015,0.134,-0.6,72.2,77.6,69.9,73.7,17.93,70.41
24,5,3343,100.644,4525.9,0.047,261.7,100,0,6940,5,-363.16,214.35,-0.0092,0.023,0.148,-0.7,72.2,77.6,69.9,73.7,17.93,70.43
24,5,3343,100.644,4525.9,0.047,261.8,100,0,6935,5,-362.86,215.52,-0.0111,0.037,0.154,-0.9,72.2,77.6,69.9,73.7,17.93,70.45
24,5,3343,100.644,4525.9,0.047,261.9,100,0,6932,5,-362.56,216.7,-0.0129,0.052,0.151,-1.1,72.2,77.6,69.9,73.7,17.93,70.46
24,5,3343,100.644,4525.9,0.047,261.9,100,0,6931,5,-362.27,217.87,-0.015,0.069,0.146,-1.3,72.2,77.6,69.9,73.7,17.92,70.48
24,5,3343,100.644,4525.9,0.047,262.0,100,0,6930,5,-361.97,219.05,-0.0156,0.076,0.145,-1.7,72.2,77.6,69.9,73.7,17.91,70.5
24,5,3343,100.644,4525.9,0.047,262.1,100,0,6930,5,-361.67,220.23,-0.0163,0.09,0.14,-2.0,72.2,77.6,69.9,73.6,17.9,70.52
24,5,3343,100.644,4525.9,0.047,262.1,100,0,6945,5,-361.37,221.4,-0.0189,0.099,0.078,-2.6,72.2,77.6,69.9,73.6,17.89,70.53
24,5,3343,100.644,4525.9,0.047,262.1,100,0,6962,5,-361.07,222.58,-0.024,0.118,0.073,-3.1,72.2,77.6,69.9,73.6,17.88,70.55
24,5,3343,100.644,4525.9,0.047,262.1,100,0,6981,5,-360.77,223.76,-0.0302,0.123,0.071,-3.6,72.2,77.6,69.9,73.6,17.86,70.56
24,5,3343,100.644,4525.9,0.453,262.2,100,0,6996,5,-360.48,224.93,-0.0367,0.135,0.093,-4.2,72.2,77.6,69.9,73.6,17.84,70.57
24,5,3343,100.644,4525.9,0.453,262.2,100,0,7007,5,-360.18,226.11,-0.0399,0.133,0.116,-4.7,72.2,77.6,69.9,73.6,17.83,70.59
24,5,3343,100.644,4525.9,0.453,262.3,100,0,7007,5,-359.88,227.29,-0.0434,0.158,0.154,-5.3,72.2,77.6,69.9,73.6,17.81,70.62
24,5,3343,100.644,4525.9,0.453,262.3,100,0,7018,5,-359.59,228.47,-0.0501,0.174,0.098,-5.9,72.2,77.6,69.9,73.6,17.78,70.64
24,5,3343,100.644,4525.9,0.453,262.4,100,0,7022,5,-359.29,229.65,-0.0591,0.215,0.123,-6.4,72.2,77.6,69.9,73.6,17.76,70.66
24,5,3343,100.644,4525.9,0.672,262.5,100,0,7024,5,-359.0,230.83,-0.0693,0.241,0.123,-6.9,72.2,77.6,69.9,73.6,17.72,70.68
24,5,3343,100.644,4525.9,0.687,262.5,100,0,7015,5,-358.7,232.01,-0.0782,0.289,0.163,-7.5,72.2,77.6,69.9,73.6,17.68,70.71
24,5,3343,100.644,4525.9,0.703,262.6,100,0,7009,5,-358.41,233.19,-0.0861,0.315,0.148,-7.9,72.2,77.6,69.9,73.6,17.64,70.74
24,5,3343,100.644,4525.9,0.703,262.7,100,0,7001,5,-358.12,234.37,-0.0924,0.36,0.163,-8.3,72.2,77.6,69.9,73.6,17.59,70.78
24,5,3343,100.644,4525.9,0.703,262.7,100,0,6993,5,-357.82,235.55,-0.1004,0.418,0.154,-8.6,72.2,77.6,69.9,73.6,17.53,70.81
24,5,3343,100.644,4525.9,0.703,262.8,100,0,6986,5,-357.53,236.73,-0.1069,0.458,0.154,-8.9,72.2,77.6,69.9,73.6,17.46,70.85
24,5,3343,100.644,4525.9,0.703,262.9,100,0,6979,5,-357.24,237.92,-0.1106,0.495,0.152,-9.0,72.2,77.6,69.9,73.6,17.39,70.88
24,5,3343,100.644,4525.9,0.703,262.9,100,0,6974,5,-356.95,239.1,-0.1121,0.53,0.145,-9.1,72.2,77.6,69.9,73.6,17.31,70.92
24,5,3343,100.644,4525.9,0.703,263.0,100,0,6972,5,-356.67,240.28,-0.1113,0.558,0.137,-9.1,72.2,77.6,69.9,73.6,17.23,70.95
24,5,3343,100.644,4525.9,0.703,263.0,100,0,6974,5,-356.38,241.47,-0.1138,0.602,0.121,-9.2,72.2,77.6,69.9,73.6,17.14,70.99
24,5,3343,100.644,4525.9,0.703,263.1,100,0,6975,5,-356.1,242.65,-0.1169,0.651,0.126,-9.1,72.2,77.6,69.9,73.6,17.04,71.02
24,5,3343,100.644,4525.9,0.703,263.1,100,0,6980,5,-355.81,243.84,-0.1205,0.669,0.116,-9.1,72.2,77.6,69.9,73.6,16.93,71.06
24,5,3343,100.644,4525.9,0.703,263.2,100,0,6980,5,-355.53,245.02,-0.1137,0.664,0.138,-9.1,72.2,77.6,69.9,73.6,16.83,71.1
24,5,3343,100.644,4525.9,0.703,263.2,100,0,6982,5,-355.25,246.21,-0.1013,0.621,0.13,-9.0,72.2,77.6,69.9,73.6,16.74,71.14
24,5,3343,100.644,4525.9,0.703,263.3,100,0,6988,5,-354.98,247.4,-0.0925,0.612,0.115,-9.0,72.2,77.6,69.9,73.6,16.64,71.17
24,5,3343,100.644,4525.9,0.703,263.3,100,0,7005,5,-354.7,248.59,-0.0933,0.551,0.07,-9.1,72.2,77.6,69.9,73.6,16.56,71.2
24,5,3343,100.644,4525.9,0.703,263.3,100,0,7019,5,-354.42,249.77,-0.0983,0.58,0.082,-9.2,72.2,77.6,69.9,73.6,16.47,71.22
24,5,3343,100.644,4525.9,0.703,263.3,100,0,7033,5,-354.15,250.96,-0.1032,0.573,0.085,-9.2,72.2,77.6,69.9,73.6,16.38,71.25
24,5,3343,100.644,4525.9,0.703,263.4,100,0,7043,5,-353.88,252.15,-0.0999,0.55,0.108,-9.2,72.2,77.6,69.9,73.6,16.29,71.29
24,5,3343,100.644,4525.9,0.703,263.4,100,0,7051,5,-353.61,253.34,-0.0903,0.524,0.119,-9.2,72.2,77.6,69.9,73.6,16.21,71.32
24,5,3343,100.644,4525.9,0.703,263.5,100,0,7059,5,-353.34,254.53,-0.0834,0.52,0.113,-9.2,72.2,77.6,69.9,73.6,16.13,71.35
24,5,3343,100.644,4525.9,0.703,263.5,100,0,7070,5,-353.07,255.72,-0.0783,0.474,0.095,-9.3,72.2,77.6,69.9,73.6,16.06,71.38
24,5,3343,100.644,4525.9,0.703,263.5,100,0,7080,5,-352.8,256.91,-0.0727,0.452,0.096,-9.3,72.2,77.6,69.9,73.6,15.99,71.41
24,5,3343,100.644,4525.9,0.703,263.6,100,0,7089,5,-352.54,258.1,-0.0692,0.46,0.099,-9.4,72.2,77.6,69.9,73.6,15.92,71.43
