# gt7 capture | captured=2026-07-19 | track=Kyoto Yamagiwa Rev | car=Mitsubishi FTO GP Version R '97 | packet=C | hz=60.0 | cleaned(best-of-session: rl4)
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
4,1,51,118.95,976.0,0.047,181.2,100,0,7155,4,-142.93,-4.67,-0.0005,0.004,0.105,0.3,60.7,59.9,59.5,59.0,-50.33,-1.21
4,1,51,118.95,976.0,0.047,181.3,100,0,7155,4,-143.77,-4.69,0.0003,0.002,0.104,0.3,60.7,59.9,59.5,59.0,-50.35,-1.21
4,1,51,118.95,976.0,0.047,181.4,100,0,7155,4,-144.61,-4.71,0.0009,0.002,0.108,0.3,60.7,59.9,59.5,59.0,-50.37,-1.21
4,1,51,118.95,976.0,0.063,181.4,100,0,7154,4,-145.45,-4.74,0.0013,0.001,0.112,0.3,60.7,59.9,59.5,59.0,-50.39,-1.21
4,1,51,118.95,976.0,0.078,181.5,100,0,7153,4,-146.29,-4.76,0.0017,0.0,0.108,0.2,60.7,59.9,59.5,59.0,-50.4,-1.22
4,1,51,118.95,976.0,0.094,181.6,100,0,7152,4,-147.13,-4.78,0.002,-0.001,0.11,0.2,60.7,59.9,59.5,59.0,-50.42,-1.22
4,1,51,118.95,976.0,0.11,181.6,100,0,7151,4,-147.97,-4.8,0.0022,-0.002,0.109,0.2,60.7,59.9,59.5,59.0,-50.44,-1.22
4,1,51,118.95,976.0,0.125,181.7,100,0,7151,4,-148.81,-4.82,0.0023,-0.003,0.107,0.2,60.7,59.9,59.5,59.0,-50.46,-1.22
4,1,51,118.95,976.0,0.141,181.8,100,0,7151,4,-149.66,-4.84,0.0023,-0.005,0.104,0.2,60.7,59.9,59.5,59.0,-50.47,-1.22
4,1,51,118.95,976.0,0.172,181.8,100,0,7151,4,-150.5,-4.86,0.0023,-0.007,0.101,0.2,60.7,59.9,59.5,59.0,-50.49,-1.22
4,1,51,118.95,976.0,0.172,181.9,100,0,7152,4,-151.34,-4.88,0.002,-0.005,0.099,0.1,60.7,59.9,59.5,58.9,-50.51,-1.22
4,1,51,118.95,976.0,0.188,181.9,100,0,7154,4,-152.18,-4.9,0.0016,-0.005,0.093,-0.0,60.7,59.9,59.5,58.9,-50.52,-1.22
4,1,51,118.95,976.0,0.219,182.0,100,0,7158,4,-153.03,-4.92,0.0013,-0.006,0.084,-0.0,60.7,59.9,59.5,58.9,-50.53,-1.22
4,1,51,118.95,976.0,0.235,182.0,100,0,7162,4,-153.87,-4.94,0.0008,-0.006,0.086,-0.1,60.7,59.9,59.5,58.9,-50.55,-1.22
4,1,51,118.95,976.0,0.25,182.1,100,0,7167,4,-154.71,-4.96,0.0006,-0.005,0.081,-0.1,60.7,59.9,59.5,58.9,-50.56,-1.22
4,1,51,118.95,976.0,0.266,182.1,100,0,7173,4,-155.56,-4.98,0.0004,-0.006,0.081,-0.1,60.7,59.9,59.5,58.9,-50.57,-1.22
4,1,51,118.95,976.0,0.282,182.2,100,0,7178,4,-156.4,-5.0,0.0002,-0.007,0.083,-0.1,60.7,59.9,59.5,58.9,-50.59,-1.22
4,1,51,118.95,976.0,0.297,182.2,100,0,7183,4,-157.25,-5.02,-0.0001,-0.007,0.086,-0.1,60.7,59.9,59.5,58.9,-50.6,-1.22
4,1,51,118.95,976.0,0.313,182.3,100,0,7186,4,-158.09,-5.04,-0.0005,-0.007,0.091,-0.1,60.7,59.9,59.5,58.9,-50.62,-1.22
4,1,51,118.95,976.0,0.328,182.3,100,0,7189,4,-158.93,-5.06,-0.0008,-0.006,0.092,-0.1,60.7,59.9,59.5,58.9,-50.63,-1.22
4,1,51,118.95,976.0,0.344,182.4,100,0,7190,4,-159.78,-5.08,-0.0006,-0.005,0.102,-0.1,60.7,59.9,59.5,58.9,-50.65,-1.22
4,1,51,118.95,976.0,0.375,182.4,100,0,7191,4,-160.63,-5.1,-0.0006,-0.005,0.099,-0.1,60.7,59.9,59.5,58.9,-50.66,-1.22
4,1,51,118.95,976.0,0.375,182.5,100,0,7193,4,-161.47,-5.12,-0.0006,-0.005,0.093,-0.1,60.7,59.9,59.5,58.9,-50.68,-1.22
4,1,51,118.95,976.0,0.391,182.6,100,0,7196,4,-162.32,-5.14,-0.0011,-0.004,0.094,-0.1,60.7,59.9,59.5,58.9,-50.7,-1.22
4,1,51,118.95,976.0,0.407,182.6,100,0,7198,4,-163.16,-5.16,-0.0015,-0.002,0.095,-0.2,60.7,59.9,59.5,58.9,-50.71,-1.22
4,1,51,118.95,976.0,0.438,182.7,100,0,7200,4,-164.01,-5.18,-0.0016,-0.001,0.093,-0.2,60.7,59.9,59.5,58.9,-50.73,-1.22
4,1,51,118.95,976.0,0.438,182.7,100,0,7204,4,-164.86,-5.2,-0.0018,0.0,0.086,-0.2,60.7,59.9,59.5,58.9,-50.74,-1.22
4,1,51,118.95,976.0,0.469,182.8,100,0,7208,4,-165.7,-5.22,-0.0019,0.001,0.089,-0.2,60.7,59.9,59.5,58.9,-50.75,-1.22
4,1,51,118.95,976.0,0.485,182.8,100,0,7211,4,-166.55,-5.24,-0.002,0.0,0.089,-0.1,60.7,59.9,59.5,58.9,-50.77,-1.22
4,1,51,118.95,976.0,0.5,182.9,100,0,7216,4,-167.4,-5.26,-0.0021,0.002,0.082,-0.2,60.7,59.9,59.5,58.9,-50.78,-1.22
4,1,51,118.95,976.0,0.516,182.9,100,0,7221,4,-168.24,-5.28,-0.0022,0.003,0.086,-0.2,60.7,59.9,59.5,58.9,-50.8,-1.22
4,1,51,118.95,976.0,0.516,183.0,100,0,7224,4,-169.09,-5.31,-0.0022,0.003,0.088,-0.2,60.7,59.9,59.5,58.9,-50.81,-1.23
4,1,51,118.95,976.0,0.563,183.0,100,0,7229,4,-169.94,-5.33,-0.0019,0.004,0.084,-0.2,60.7,59.9,59.5,58.9,-50.82,-1.23
4,1,51,118.95,976.0,0.563,183.1,100,0,7233,4,-170.79,-5.35,-0.0017,0.003,0.089,-0.2,60.7,59.9,59.5,58.9,-50.84,-1.23
4,1,51,118.95,976.0,0.578,183.1,100,0,7236,4,-171.64,-5.37,-0.0018,0.005,0.088,-0.2,60.7,59.9,59.5,58.9,-50.85,-1.23
4,1,51,118.95,976.0,0.61,183.2,100,0,7239,4,-172.48,-5.39,-0.0022,0.005,0.096,-0.3,60.7,59.9,59.5,58.9,-50.87,-1.23
4,1,51,118.95,976.0,0.625,183.2,100,0,7240,4,-173.33,-5.41,-0.0023,0.008,0.1,-0.3,60.7,59.9,59.5,58.9,-50.89,-1.23
4,1,51,118.95,976.0,0.641,183.3,100,0,7240,4,-174.18,-5.43,-0.002,0.008,0.105,-0.3,60.7,59.9,59.5,58.9,-50.9,-1.23
4,1,51,118.95,976.0,0.657,183.4,100,0,7240,4,-175.03,-5.45,-0.0016,0.008,0.108,-0.4,60.7,59.9,59.5,58.9,-50.92,-1.24
4,1,51,118.95,976.0,0.672,183.4,100,0,7240,4,-175.88,-5.47,-0.0018,0.007,0.103,-0.4,60.7,59.9,59.5,58.9,-50.94,-1.24
