# gt7 capture | captured=2026-06-08T19:46:30 | track= | car= | packet=C | hz=20.0
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
1,2,3600,110.815,0.0,24.594,86.4,0,0,7027,1,343.47,-245.32,0.7162,-1.61,-0.307,64.1,69.0,73.2,77.1,80.2,-8.67,-22.17
1,2,3600,110.815,0.0,24.656,85.7,0,0,6976,1,342.34,-247.84,0.6774,-1.403,-0.247,71.9,69.0,73.3,77.1,80.2,-10.29,-21.23
1,2,3600,110.815,0.0,24.734,85.5,0,0,6925,1,341.42,-249.57,0.4451,-1.238,-0.214,67.7,69.0,73.2,77.1,80.2,-11.24,-20.64
1,2,3600,110.815,0.0,24.813,85.3,22,0,7164,1,340.23,-251.59,0.5466,-1.288,-0.016,66.4,69.0,73.2,77.1,80.2,-12.38,-19.9
1,2,3600,110.815,0.0,24.875,85.7,36,0,7352,1,339.58,-252.58,0.5524,-1.399,0.148,68.2,69.0,73.3,77.1,80.2,-13.02,-19.59
1,2,3600,110.815,0.0,24.938,86.4,49,0,7497,1,338.9,-253.55,0.5426,-1.312,0.274,70.8,69.0,73.3,77.1,80.2,-13.73,-19.33
1,2,3600,110.815,0.0,25.016,87.8,68,0,7765,1,337.94,-254.83,0.4638,-0.982,0.565,70.3,69.0,73.3,77.1,80.2,-14.61,-19.17
1,2,3600,110.815,0.0,25.078,91.7,93,0,8214,1,336.15,-257.09,0.0437,-0.13,0.954,58.2,69.0,73.2,77.1,80.2,-15.78,-19.61
1,2,3600,110.815,0.0,25.141,92.9,73,0,8169,1,335.62,-257.75,0.0098,-0.016,0.834,54.4,69.0,73.2,77.1,80.2,-16.04,-19.84
1,2,3600,110.815,0.0,25.203,94.7,39,0,7906,1,334.26,-259.43,0.0274,-0.023,0.27,46.1,68.9,73.2,77.1,80.2,-16.42,-20.22
1,2,3600,110.815,0.0,25.281,95.4,27,0,7938,1,333.16,-260.78,0.1181,-0.202,0.065,41.6,68.9,73.2,77.1,80.2,-16.66,-20.26
1,2,3600,110.815,0.0,25.344,95.8,27,0,8009,1,332.03,-262.13,0.1402,-0.09,0.072,38.2,68.9,73.2,77.1,80.2,-16.93,-20.22
1,2,3600,110.815,0.0,25.406,96.3,26,0,8037,1,330.89,-263.48,0.0174,-0.042,0.078,33.6,68.9,73.2,77.1,80.1,-17.13,-20.25
1,2,3600,110.815,0.0,25.469,96.8,27,0,8078,1,329.74,-264.84,-0.0035,0.069,0.069,29.3,68.9,73.2,77.1,80.1,-17.27,-20.32
1,2,3600,110.815,0.0,25.531,97.2,27,0,8107,1,328.87,-265.86,-0.0094,0.1,0.065,26.4,68.9,73.2,77.0,80.1,-17.35,-20.39
1,2,3600,110.815,0.0,25.594,97.6,27,0,8141,1,327.7,-267.21,0.2189,-0.552,0.065,25.9,68.9,73.1,77.0,80.1,-17.69,-20.28
1,2,3600,110.815,0.0,25.672,98.0,27,0,8193,1,326.49,-268.56,0.3696,-0.855,0.035,27.5,68.9,73.1,77.0,80.1,-18.19,-20.0
1,2,3600,110.815,0.0,25.734,98.5,36,0,8296,1,324.93,-270.2,0.378,-0.762,0.059,30.6,68.9,73.1,77.0,80.1,-18.93,-19.51
1,2,3600,110.815,0.0,25.797,99.0,51,0,8517,1,323.98,-271.17,0.2196,-0.575,0.349,29.8,68.9,73.1,77.0,80.1,-19.28,-19.38
1,2,3600,110.815,0.0,25.859,100.2,71,0,8823,1,322.67,-272.47,0.0218,-0.127,0.418,26.2,68.8,73.1,77.0,80.1,-19.67,-19.46
1,2,3600,110.815,0.0,25.938,101.7,86,0,8902,1,321.67,-273.45,0.0161,-0.149,0.754,24.0,68.8,73.1,77.0,80.1,-20.08,-19.65
1,2,3600,110.815,0.0,26.0,104.9,100,0,9215,1,319.6,-275.43,0.2519,-0.67,0.969,23.5,68.8,73.1,77.0,80.1,-21.12,-19.89
1,2,3600,110.815,0.0,26.063,106.5,100,0,9280,1,318.51,-276.43,0.2553,-0.578,0.781,24.4,68.8,73.1,77.0,80.1,-21.73,-19.94
1,2,3600,110.815,0.0,26.125,108.6,100,0,9047,1,317.04,-277.76,0.0962,-0.237,0.721,22.8,68.8,73.1,77.0,80.1,-22.38,-20.07
1,2,3600,110.815,0.0,26.188,109.0,100,0,9231,1,315.53,-279.1,0.0024,-0.084,0.341,19.9,68.8,73.1,77.0,80.1,-22.6,-20.06
1,2,3600,110.815,0.0,26.25,109.1,100,0,9201,1,314.4,-280.11,-0.0161,0.135,-0.226,18.0,68.8,73.0,77.0,80.1,-22.62,-20.05
1,2,3600,110.815,0.0,26.313,109.6,0,0,8138,2,312.88,-281.45,0.0301,-0.076,-0.0,16.0,68.8,73.0,77.0,80.0,-22.83,-20.08
1,2,3600,110.815,0.0,26.375,112.2,100,0,7317,2,311.32,-282.8,0.1131,-0.223,0.989,15.7,68.8,73.0,77.0,80.1,-23.51,-20.4
1,2,3600,110.815,0.0,26.438,114.0,100,0,7315,2,309.73,-284.17,0.2079,-0.684,0.538,17.3,68.8,73.0,77.0,80.1,-24.13,-20.44
1,2,3600,110.815,0.0,26.5,115.1,100,0,7586,2,308.5,-285.18,0.408,-0.971,0.842,19.2,68.8,73.0,77.0,80.1,-24.7,-20.25
1,2,3600,110.815,0.0,26.563,117.2,100,0,7418,2,306.81,-286.53,0.2006,-0.685,0.77,19.2,68.7,73.0,77.0,80.1,-25.55,-20.15
1,2,3600,110.815,0.0,26.625,118.8,100,0,7690,2,305.08,-287.87,0.1286,-0.522,0.509,18.8,68.7,73.0,77.0,80.1,-26.15,-20.08
1,2,3600,110.815,0.0,26.703,120.5,100,0,7827,2,303.3,-289.21,0.3316,-0.932,0.783,19.7,68.7,73.0,77.0,80.1,-26.89,-19.88
1,2,3600,110.815,0.0,26.766,122.2,100,0,7832,2,301.46,-290.52,0.3892,-0.963,0.639,22.2,68.7,73.0,77.1,80.1,-27.71,-19.6
1,2,3600,110.815,0.0,26.828,123.7,70,0,7792,2,299.58,-291.8,0.3674,-1.149,0.409,25.7,68.7,73.0,77.1,80.1,-28.51,-19.15
1,2,3600,110.815,0.0,26.891,124.6,58,0,7848,2,297.15,-293.36,0.4776,-1.464,0.246,32.1,68.7,73.0,77.1,80.1,-29.38,-18.3
1,2,3600,110.815,0.0,26.953,125.1,58,0,7916,2,295.66,-294.25,0.5741,-1.547,0.218,36.3,68.7,73.0,77.0,80.1,-29.91,-17.66
1,2,3600,110.815,0.0,27.016,125.7,58,0,7915,2,294.14,-295.1,0.5953,-1.825,0.339,39.5,68.7,73.0,77.0,80.1,-30.5,-16.95
1,2,3600,110.815,0.0,27.078,126.4,58,0,7942,2,292.07,-296.19,0.5468,-1.812,0.316,44.2,68.7,73.0,77.0,80.1,-31.27,-15.92
1,2,3600,110.815,0.0,27.141,127.0,58,0,7986,2,289.95,-297.2,0.5458,-1.908,0.245,49.9,68.7,73.1,77.0,80.1,-32.01,-14.78
1,2,3600,110.815,0.0,27.219,127.6,58,0,7997,2,287.78,-298.13,0.4855,-1.809,0.323,55.3,68.7,73.1,77.0,80.1,-32.71,-13.66
1,2,3600,110.815,0.0,27.281,128.2,58,0,8067,2,285.57,-298.99,0.4727,-1.533,0.251,59.8,68.7,73.1,77.0,80.1,-33.3,-12.62
1,2,3600,110.815,0.0,27.344,128.9,56,0,8099,2,283.32,-299.79,0.4711,-1.534,0.245,63.7,68.7,73.2,77.0,80.1,-33.83,-11.64
1,2,3600,110.815,0.0,27.406,129.4,56,0,8148,2,281.04,-300.52,0.4775,-1.535,0.211,66.9,68.7,73.2,77.0,80.1,-34.32,-10.64
1,2,3600,110.815,0.0,27.469,129.9,62,0,8195,2,279.31,-301.02,0.4655,-1.576,0.248,68.9,68.7,73.2,77.0,80.1,-34.68,-9.88
1,2,3600,110.815,0.0,27.531,130.7,86,0,8446,2,276.97,-301.64,0.4483,-1.463,0.41,71.4,68.7,73.3,77.0,80.1,-35.18,-8.9
1,2,3600,110.815,0.0,27.594,132.0,100,0,8637,2,274.6,-302.19,0.437,-1.52,0.564,73.5,68.7,73.3,77.0,80.1,-35.76,-7.97
1,2,3600,110.815,0.0,27.656,133.5,100,0,8683,2,272.19,-302.68,0.4418,-1.584,0.666,75.2,68.7,73.3,77.0,80.2,-36.37,-7.06
1,2,3600,110.815,0.0,27.719,134.5,100,0,8743,2,270.35,-303.0,0.495,-1.602,0.583,76.0,68.7,73.3,77.0,80.2,-36.8,-6.28
1,2,3600,110.815,0.0,27.781,136.1,100,0,8756,2,267.87,-303.37,0.4342,-1.614,0.659,76.3,68.7,73.4,77.0,80.2,-37.41,-5.2
1,2,3600,110.815,0.0,27.844,137.4,55,0,8609,2,265.35,-303.67,0.3455,-1.398,0.388,77.1,68.7,73.4,77.0,80.2,-37.88,-4.22
1,2,3600,110.815,0.0,27.906,137.6,0,0,8151,2,262.82,-303.91,0.1948,-0.96,-0.137,77.7,68.7,73.4,77.0,80.2,-38.02,-3.43
1,2,3600,110.815,0.0,27.984,137.2,0,0,8074,2,260.29,-304.1,0.3388,-0.834,-0.267,78.3,68.7,73.4,77.0,80.2,-37.93,-2.86
1,2,3600,110.815,0.0,28.047,136.7,0,0,8029,2,257.77,-304.25,0.3719,-0.888,-0.213,77.8,68.7,73.4,77.0,80.2,-37.81,-2.36
1,2,3600,110.815,0.0,28.109,135.9,0,0,8087,2,255.25,-304.37,0.4021,-1.41,-0.475,76.7,68.7,73.4,77.0,80.2,-37.63,-1.56
1,2,3600,110.815,0.0,28.172,135.2,0,0,7976,2,252.74,-304.46,0.6736,-1.635,-0.348,75.5,68.7,73.5,77.0,80.2,-37.48,-0.65
1,2,3600,110.815,0.0,28.234,134.2,0,0,8080,2,250.24,-304.45,0.3098,-1.627,-0.351,72.3,68.7,73.5,77.1,80.2,-37.23,0.74
1,2,3600,110.815,0.0,28.297,133.9,0,0,8009,2,248.39,-304.39,0.0337,-0.474,-0.132,71.1,68.7,73.5,77.1,80.2,-37.11,1.35
1,2,3600,110.815,0.0,28.359,133.8,0,0,7755,2,245.92,-304.3,0.1328,-0.423,-0.132,71.3,68.7,73.5,77.0,80.2,-37.02,1.62
1,2,3600,110.815,0.0,28.422,133.0,0,0,7792,2,243.46,-304.14,0.3485,-1.028,-0.408,71.6,68.8,73.5,77.0,80.2,-36.78,2.37
1,2,3600,110.815,0.0,28.5,132.3,0,0,7845,2,241.01,-303.94,0.3356,-0.846,-0.342,68.9,68.8,73.5,77.0,80.2,-36.55,3.03
1,2,3600,110.815,0.0,28.563,131.9,0,0,7747,2,238.58,-303.73,0.2367,-0.259,-0.153,66.6,68.8,73.5,77.0,80.1,-36.4,3.35
1,2,3600,110.815,0.0,28.625,131.5,0,0,7598,2,236.16,-303.49,0.3218,-0.524,-0.148,66.4,68.8,73.5,77.0,80.1,-36.26,3.7
1,2,3600,110.815,0.0,28.688,131.0,0,0,7592,2,234.35,-303.28,0.4155,-0.915,-0.446,67.3,68.8,73.5,77.0,80.1,-36.08,4.07
1,2,3600,110.815,0.0,28.75,130.1,0,0,7676,2,231.96,-302.98,0.4427,-0.874,-0.343,67.3,68.8,73.5,77.0,80.1,-35.8,4.68
1,2,3600,110.815,0.0,28.813,129.3,0,0,7674,2,229.58,-302.64,0.4219,-1.125,-0.378,68.7,68.8,73.5,77.0,80.1,-35.51,5.32
1,2,3600,110.815,0.0,28.875,127.4,0,0,7583,2,227.23,-302.25,0.3145,-1.012,-0.917,71.3,68.8,73.5,77.0,80.2,-34.91,5.95
1,2,3600,110.815,0.0,28.953,126.0,0,0,7392,2,224.93,-301.83,0.3102,-0.61,-0.492,73.9,68.8,73.6,77.0,80.1,-34.46,6.35
1,2,3600,110.815,0.0,29.016,124.0,0,0,7242,2,222.66,-301.38,0.3838,-1.167,-0.797,76.3,68.8,73.6,77.0,80.1,-33.79,6.94
1,2,3600,110.815,0.0,29.078,122.0,0,0,7136,2,220.43,-300.89,0.4505,-0.722,-0.501,76.9,68.9,73.6,77.0,80.1,-33.12,7.49
1,2,3600,110.815,0.0,29.141,120.5,0,0,7044,2,218.25,-300.36,0.4015,-0.735,-0.324,77.7,68.9,73.6,77.0,80.1,-32.59,7.98
