# gt7 capture | captured=2026-06-08T21:13:54 | track=Laguna Seca | car=WR ghost | packet=C | hz=20.0
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
1,1,3600,79.483,17.9,0.016,192.7,100,0,8199,4,-276.51,-241.98,0.0249,-0.131,0.255,1.6,58.9,59.8,61.7,62.1,-29.02,44.92
1,1,3600,79.483,17.9,0.078,193.3,100,0,8275,4,-279.42,-237.47,0.0317,-0.148,0.209,3.8,58.8,59.7,61.7,62.1,-29.0,45.15
1,1,3600,79.483,17.9,0.141,193.4,100,0,8309,4,-279.9,-236.72,0.0409,-0.174,0.191,4.2,58.8,59.7,61.6,62.1,-29.0,45.19
1,1,3600,79.483,17.9,0.203,194.2,100,0,8294,4,-281.84,-233.69,0.0769,-0.338,0.321,4.0,58.8,59.7,61.7,62.1,-28.95,45.45
1,1,3600,79.483,17.9,0.266,194.7,100,0,8253,4,-283.76,-230.65,0.0539,-0.306,0.241,2.5,58.8,59.7,61.7,62.1,-28.83,45.69
1,1,3600,79.483,17.9,0.375,195.2,100,0,8349,4,-286.64,-226.06,0.0429,-0.23,0.194,4.0,58.8,59.7,61.6,62.1,-28.69,45.96
1,1,3600,79.483,17.9,0.438,195.9,100,0,8327,4,-289.03,-222.21,0.075,-0.279,0.256,5.4,58.8,59.7,61.6,62.1,-28.55,46.27
1,1,3600,79.483,17.9,0.5,196.4,100,0,8345,4,-290.93,-219.12,0.0887,-0.377,0.253,5.8,58.8,59.7,61.6,62.1,-28.43,46.5
1,1,3600,79.483,17.9,0.563,197.0,100,0,8425,4,-293.29,-215.22,0.1051,-0.474,0.181,9.8,58.8,59.6,61.6,62.1,-28.19,46.85
1,1,3600,79.483,17.9,0.625,197.4,100,0,8378,4,-294.69,-212.87,0.2226,-0.72,0.274,8.8,58.8,59.6,61.6,62.1,-27.84,47.17
1,1,3600,79.483,17.9,0.688,197.7,100,0,8364,4,-296.07,-210.5,0.1761,-0.718,0.253,6.7,58.8,59.6,61.6,62.1,-27.56,47.43
