# gt7 capture | captured=2026-06-13T10:19:02 | track=深林賽道 逆向 | car=Toyota 86 GRMN '16 WR | packet=C | hz=15.0 | cleaned
run_lap,inlap,carcode,lap_time,wall,t,spd,thr,brk,rpm,gear,x,z,yaw,latG,lonG,steer,tFL,tFR,tRL,tRR,vx,vz
1,1,3222,110.238,4.0,0.016,169.4,100,0,7782,4,-51.74,-262.62,0.0038,-0.017,0.106,0.4,68.7,68.0,58.6,60.1,47.06,-0.19
1,1,3222,110.238,4.0,0.078,169.6,100,0,7809,4,-48.6,-262.64,0.0016,-0.009,0.105,-0.2,68.7,67.9,58.6,60.1,47.12,-0.19
1,1,3222,110.238,4.0,0.156,169.9,73,0,7803,4,-45.45,-262.65,0.0016,-0.012,0.107,0.2,68.7,67.9,58.6,60.1,47.19,-0.2
1,1,3222,110.238,4.0,0.219,170.0,0,0,7551,5,-42.3,-262.66,0.0038,-0.013,0.026,0.4,68.7,67.9,58.6,60.1,47.22,-0.21
1,1,3222,110.238,4.0,0.281,169.9,0,0,7116,5,-39.15,-262.68,0.0016,-0.006,-0.066,-0.2,68.7,67.9,58.6,60.1,47.19,-0.21
1,1,3222,110.238,4.0,0.359,169.7,0,0,6055,5,-35.21,-262.69,0.0004,-0.013,-0.033,0.4,68.7,67.9,58.6,60.1,47.15,-0.22
1,1,3222,110.238,4.0,0.422,169.8,100,0,6342,5,-32.85,-262.71,0.0038,-0.006,0.028,0.1,68.7,67.9,58.6,60.1,47.16,-0.22
1,1,3222,110.238,4.0,0.484,170.0,99,0,6401,5,-29.7,-262.72,-0.0007,0.002,0.11,-0.5,68.7,67.9,58.6,60.1,47.23,-0.22
1,1,3222,110.238,4.0,0.547,170.3,100,0,6455,5,-26.55,-262.73,-0.0007,-0.004,0.128,0.1,68.7,67.9,58.6,60.1,47.3,-0.22
1,1,3222,110.238,4.0,0.625,170.5,100,0,6461,5,-23.39,-262.75,-0.0029,0.006,0.111,-0.3,68.7,67.9,58.6,60.1,47.37,-0.22
1,1,3222,110.238,4.0,0.688,170.8,100,0,6460,5,-20.22,-262.76,-0.0052,0.012,0.116,-0.7,68.7,67.9,58.6,60.1,47.45,-0.21
1,1,3222,110.238,4.0,0.75,171.1,100,0,6472,5,-17.06,-262.78,-0.0052,0.007,0.116,0.2,68.7,67.9,58.6,60.1,47.52,-0.21
1,1,3222,110.238,4.0,0.813,171.3,100,0,6496,5,-13.88,-262.79,-0.0007,0.008,0.107,0.1,68.6,67.9,58.6,60.1,47.59,-0.2
1,1,3222,110.238,4.0,0.875,171.5,100,0,6506,5,-11.5,-262.8,-0.0041,0.016,0.118,-0.6,68.6,67.9,58.6,60.1,47.65,-0.19
1,1,3222,110.238,4.0,0.969,172.0,100,0,6514,5,-6.72,-262.82,-0.006,0.005,0.116,0.1,68.6,67.9,58.6,60.1,47.77,-0.17
1,1,3222,110.238,4.0,1.047,172.3,100,0,6519,5,-3.53,-262.83,-0.0026,0.004,0.129,0.3,68.6,67.9,58.6,60.1,47.85,-0.17
1,1,3222,110.238,4.0,1.109,172.5,100,0,6522,5,-0.33,-262.84,-0.0022,0.011,0.115,-0.4,68.6,67.9,58.6,60.1,47.92,-0.16
1,1,3222,110.238,4.0,1.172,172.8,100,0,6536,5,2.87,-262.85,-0.0022,0.003,0.109,0.0,68.6,67.9,58.6,60.1,47.99,-0.15
1,1,3222,110.238,4.0,1.234,173.0,100,0,6559,5,6.07,-262.86,0.0,0.0,0.101,0.2,68.6,67.9,58.6,60.1,48.06,-0.15
1,1,3222,110.238,4.0,1.297,173.3,100,0,6577,5,9.28,-262.87,-0.0018,0.007,0.118,-0.7,68.6,67.8,58.6,60.1,48.12,-0.15
1,1,3222,110.238,4.0,1.359,173.5,100,0,6597,5,12.5,-262.88,-0.0063,0.009,0.102,-0.4,68.6,67.8,58.6,60.1,48.2,-0.15
1,1,3222,110.238,4.0,1.422,173.8,100,0,6601,5,15.72,-262.89,-0.0041,0.007,0.131,0.2,68.6,67.8,58.6,60.1,48.29,-0.15
1,1,3222,110.238,4.0,1.484,174.1,100,0,6598,5,18.14,-262.9,-0.0007,0.013,0.127,-0.1,68.6,67.8,58.6,60.1,48.35,-0.14
1,1,3222,110.238,4.0,1.547,174.4,100,0,6600,5,21.37,-262.91,-0.0007,0.017,0.127,-0.3,68.6,67.8,58.6,60.0,48.44,-0.13
1,1,3222,110.238,4.0,1.609,174.7,100,0,6598,5,24.6,-262.92,-0.0007,0.001,0.115,0.5,68.6,67.8,58.6,60.0,48.52,-0.13
1,1,3222,110.238,4.0,1.672,174.9,100,0,6606,5,27.03,-262.92,0.0027,-0.001,0.107,0.5,68.6,67.8,58.6,60.0,48.57,-0.13
1,1,3222,110.238,4.0,1.734,175.1,100,0,6625,5,30.28,-262.93,0.0004,0.01,0.094,-0.7,68.6,67.8,58.6,60.0,48.63,-0.12
1,1,3222,110.238,4.0,1.797,175.3,100,0,6648,5,33.52,-262.94,-0.0063,0.011,0.111,-0.8,68.6,67.8,58.6,60.0,48.7,-0.11
1,1,3222,110.238,4.0,1.859,175.5,100,0,6661,5,35.96,-262.94,-0.003,0.006,0.103,-0.1,68.6,67.8,58.6,60.0,48.75,-0.11
1,1,3222,110.238,4.0,1.922,175.8,100,0,6669,5,39.22,-262.95,-0.003,0.012,0.119,-0.3,68.6,67.8,58.5,60.0,48.83,-0.1
1,1,3222,110.238,4.0,1.984,176.1,100,0,6673,5,42.48,-262.96,-0.0052,0.012,0.114,-0.5,68.5,67.8,58.5,60.0,48.91,-0.08
1,1,3222,110.238,4.0,2.047,176.3,100,0,6676,5,44.93,-262.96,-0.0063,0.009,0.12,-0.1,68.5,67.8,58.5,60.0,48.98,-0.07
1,1,3222,110.238,4.0,2.109,176.7,100,0,6658,5,48.21,-262.96,-0.0047,0.011,0.138,0.1,68.5,67.8,58.5,60.0,49.08,-0.07
1,1,3222,110.238,4.0,2.172,176.9,100,0,6655,5,51.48,-262.97,-0.0022,0.019,0.114,-0.3,68.5,67.8,58.5,60.0,49.14,-0.06
1,1,3222,110.238,4.0,2.234,177.1,100,0,6675,5,54.76,-262.97,-0.0022,0.011,0.084,0.0,68.5,67.8,58.5,60.0,49.18,-0.05
1,1,3222,110.238,4.0,2.297,177.2,100,0,6712,5,58.05,-262.98,0.0023,0.002,0.091,0.4,68.5,67.8,58.5,60.0,49.23,-0.06
1,1,3222,110.238,4.0,2.359,177.4,100,0,6734,5,60.51,-262.98,0.0034,0.007,0.099,-0.1,68.5,67.8,58.5,60.0,49.27,-0.05
1,1,3222,110.238,4.0,2.422,177.7,100,0,6753,5,64.63,-262.98,0.0,0.001,0.12,0.0,68.5,67.7,58.5,60.0,49.36,-0.05
1,1,3222,110.238,4.0,2.484,177.9,100,0,6753,5,67.1,-262.99,0.0034,-0.002,0.125,0.4,68.5,67.7,58.5,60.0,49.42,-0.06
1,1,3222,110.238,4.0,2.547,178.2,100,0,6751,5,70.4,-262.99,0.0034,0.008,0.122,-0.3,68.5,67.7,58.5,60.0,49.5,-0.06
1,1,3222,110.238,4.0,2.609,178.4,100,0,6754,5,72.88,-262.99,-0.0021,0.014,0.118,-0.7,68.5,67.7,58.5,60.0,49.55,-0.05
1,1,3222,110.238,4.0,2.672,178.6,100,0,6756,5,76.19,-263.0,-0.0044,0.001,0.119,0.1,68.5,67.7,58.5,60.0,49.61,-0.04
1,1,3222,110.238,4.0,2.734,178.8,100,0,6772,5,79.5,-263.0,-0.0021,0.001,0.097,-0.1,68.5,67.7,58.5,60.0,49.68,-0.04
1,1,3222,110.238,4.0,2.797,179.0,100,0,6794,5,82.82,-263.0,-0.0066,0.012,0.095,-0.8,68.5,67.7,58.5,60.0,49.73,-0.03
1,1,3222,110.238,4.0,2.859,179.3,100,0,6799,5,86.14,-263.0,-0.0066,0.003,0.127,0.1,68.5,67.7,58.5,60.0,49.81,-0.02
1,1,3222,110.238,4.0,2.922,179.5,100,0,6790,5,88.64,-263.0,0.0006,0.005,0.124,0.5,68.5,67.7,58.5,60.0,49.87,-0.02
1,1,3222,110.238,4.0,2.984,179.8,100,0,6792,5,91.97,-263.0,0.0001,0.019,0.115,-0.4,68.5,67.7,58.5,60.0,49.94,-0.01
1,1,3222,110.238,4.0,3.047,180.0,100,0,6795,5,94.47,-263.0,-0.0033,0.016,0.104,-0.4,68.5,67.7,58.5,60.0,49.99,-0.0
1,1,3222,110.238,4.0,3.109,180.2,100,0,6821,5,98.64,-263.0,0.0001,0.002,0.093,0.3,68.4,67.7,58.5,60.0,50.05,0.0
1,1,3222,110.238,4.0,3.188,180.4,100,0,6837,5,101.99,-263.0,0.0023,0.009,0.114,-0.4,68.4,67.7,58.5,60.0,50.12,0.01
1,1,3222,110.238,4.0,3.25,180.7,100,0,6837,5,105.34,-263.0,-0.0021,0.006,0.119,-0.4,68.4,67.7,58.5,60.0,50.19,0.02
1,1,3222,110.238,4.0,3.328,180.9,100,0,6840,5,108.69,-263.0,-0.0021,-0.001,0.12,0.0,68.4,67.7,58.5,60.0,50.25,0.02
1,1,3222,110.238,4.0,3.391,181.1,100,0,6853,5,112.04,-263.0,-0.0043,0.016,0.104,-0.9,68.4,67.7,58.5,60.0,50.3,0.03
1,1,3222,110.238,4.0,3.484,181.4,100,0,6881,5,117.08,-263.0,-0.0066,0.02,0.113,-0.3,68.4,67.7,58.5,60.0,50.4,0.04
1,1,3222,110.238,4.0,3.563,181.7,100,0,6880,5,121.29,-262.99,-0.0054,0.032,0.117,-0.3,68.4,67.7,58.5,60.0,50.48,0.06
1,1,3222,110.238,4.0,3.625,181.9,100,0,6884,5,123.82,-262.99,-0.0066,0.031,0.1,-0.6,68.4,67.6,58.5,60.0,50.53,0.08
1,1,3222,110.238,4.0,3.688,182.1,100,0,6899,5,127.19,-262.98,-0.0043,0.023,0.104,-0.0,68.4,67.6,58.5,60.0,50.59,0.1
1,1,3222,110.238,4.0,3.75,182.4,100,0,6904,5,130.57,-262.97,-0.0021,0.024,0.113,-0.1,68.4,67.6,58.5,60.0,50.65,0.11
1,1,3222,110.238,4.0,3.813,182.6,100,0,6903,5,133.96,-262.97,-0.0043,0.034,0.116,-0.9,68.4,67.6,58.5,60.0,50.72,0.13
1,1,3222,110.238,4.0,3.906,182.9,100,0,6914,5,138.19,-262.95,-0.0077,0.026,0.105,-0.3,68.4,67.6,58.5,60.0,50.79,0.15
1,1,3222,110.238,4.0,3.969,183.1,100,0,6923,5,141.58,-262.94,-0.0077,0.039,0.103,-0.7,68.4,67.6,58.5,60.0,50.85,0.17
1,1,3222,110.238,4.0,4.031,183.3,100,0,6917,5,144.98,-262.93,-0.0122,0.049,0.121,-1.2,68.4,67.6,58.5,60.0,50.91,0.2
1,1,3222,110.238,4.0,4.094,183.5,100,0,6912,5,148.38,-262.92,-0.0128,0.037,0.111,-0.2,68.4,67.6,58.5,60.0,50.96,0.22
1,1,3222,110.238,4.0,4.156,183.6,100,0,6920,5,150.93,-262.91,-0.007,0.04,0.104,-0.3,68.4,67.6,58.5,60.0,50.99,0.24
1,1,3222,110.238,4.0,4.234,183.8,100,0,6947,5,155.18,-262.88,-0.0123,0.048,0.093,-1.2,68.3,67.6,58.5,60.0,51.03,0.28
1,1,3222,110.238,4.0,4.297,183.9,100,0,6965,5,158.59,-262.86,-0.0099,0.037,0.099,-0.5,68.3,67.6,58.5,59.9,51.07,0.3
1,1,3222,110.238,4.0,4.359,184.1,100,0,6982,5,161.15,-262.85,-0.0088,0.043,0.099,-0.8,68.3,67.6,58.5,59.9,51.11,0.32
1,1,3222,110.238,4.0,4.422,184.2,100,0,6992,5,164.56,-262.83,-0.011,0.052,0.101,-1.4,68.3,67.6,58.5,59.9,51.16,0.35
1,1,3222,110.238,4.0,4.484,184.4,100,0,6999,5,167.98,-262.8,-0.011,0.051,0.115,-0.8,68.3,67.6,58.5,59.9,51.21,0.39
1,1,3222,110.238,4.0,4.563,184.6,100,0,7009,5,171.4,-262.77,-0.0088,0.049,0.101,-0.9,68.3,67.6,58.5,59.9,51.26,0.42
1,1,3222,110.238,4.0,4.641,184.8,100,0,7037,5,175.67,-262.74,-0.0144,0.06,0.096,-2.0,68.3,67.6,58.5,59.9,51.32,0.46
1,1,3222,110.238,4.0,4.703,185.0,100,0,7046,5,179.1,-262.7,-0.0188,0.062,0.105,-1.7,68.3,67.6,58.5,59.9,51.38,0.5
1,1,3222,110.238,4.0,4.766,185.2,100,0,7053,5,182.53,-262.67,-0.0183,0.067,0.117,-1.7,68.3,67.6,58.5,59.9,51.44,0.54
1,1,3222,110.238,4.0,4.828,185.4,100,0,7049,5,185.11,-262.64,-0.0149,0.076,0.105,-2.2,68.3,67.5,58.5,59.9,51.49,0.58
1,1,3222,110.238,4.0,4.891,185.7,100,0,7075,5,189.41,-262.59,-0.0185,0.068,0.093,-1.8,68.3,67.5,58.5,59.9,51.57,0.64
1,1,3222,110.238,4.0,4.969,185.9,100,0,7083,5,192.85,-262.54,-0.0161,0.073,0.097,-1.5,68.3,67.5,58.4,59.9,51.63,0.69
1,1,3222,110.238,4.0,5.031,186.1,100,0,7095,5,196.3,-262.5,-0.0184,0.085,0.124,-2.0,68.3,67.5,58.4,59.9,51.7,0.75
1,1,3222,110.238,4.0,5.125,186.5,100,0,7078,5,200.62,-262.43,-0.0146,0.088,0.113,-1.7,68.3,67.5,58.4,59.9,51.79,0.83
1,1,3222,110.238,4.0,5.188,186.7,100,0,7087,5,204.08,-262.37,-0.0151,0.089,0.101,-2.0,68.3,67.5,58.4,59.9,51.86,0.88
